"Artist1";"Artist2";"Song_Connecting";"Popularity"
"1bAftSH8umNcGZ0uyV7LMg";"2qWK8K2Jfh67UqtwY8tCW6";"0B8yu7yLe1UsXv6gewHRv2";69
"4m6ubhNsdwF4psNf3R8kwR";"6w3SkAHYPsQ1bxV7VDlG5y";"2ECIwi1a7mfokdDkkJ08Ne";75
"1OBizG9nrnHJkrL9NjnWYN";"6w3SkAHYPsQ1bxV7VDlG5y";"0OWcpVA83HI8Pb5DybDuoX";67
"4StQh17zinsbJ4r5ekmPj7";"6w3SkAHYPsQ1bxV7VDlG5y";"0OWcpVA83HI8Pb5DybDuoX";67
"0Hkx0YcHHxDRRbH9WsSW0I";"6w3SkAHYPsQ1bxV7VDlG5y";"0OWcpVA83HI8Pb5DybDuoX";67
"1bAftSH8umNcGZ0uyV7LMg";"6w3SkAHYPsQ1bxV7VDlG5y";"2ECIwi1a7mfokdDkkJ08Ne";75
"1OBizG9nrnHJkrL9NjnWYN";"4m6ubhNsdwF4psNf3R8kwR";"0OWcpVA83HI8Pb5DybDuoX";67
"4StQh17zinsbJ4r5ekmPj7";"4m6ubhNsdwF4psNf3R8kwR";"0OWcpVA83HI8Pb5DybDuoX";67
"0Hkx0YcHHxDRRbH9WsSW0I";"4m6ubhNsdwF4psNf3R8kwR";"0OWcpVA83HI8Pb5DybDuoX";67
"1bAftSH8umNcGZ0uyV7LMg";"4m6ubhNsdwF4psNf3R8kwR";"03a359wbiUsjN9h6yzXvmS";82
"1OBizG9nrnHJkrL9NjnWYN";"4StQh17zinsbJ4r5ekmPj7";"0OWcpVA83HI8Pb5DybDuoX";67
"0Hkx0YcHHxDRRbH9WsSW0I";"1OBizG9nrnHJkrL9NjnWYN";"0OWcpVA83HI8Pb5DybDuoX";67
"1OBizG9nrnHJkrL9NjnWYN";"1bAftSH8umNcGZ0uyV7LMg";"0OWcpVA83HI8Pb5DybDuoX";67
"0Hkx0YcHHxDRRbH9WsSW0I";"4StQh17zinsbJ4r5ekmPj7";"0OWcpVA83HI8Pb5DybDuoX";67
"1bAftSH8umNcGZ0uyV7LMg";"4StQh17zinsbJ4r5ekmPj7";"0OWcpVA83HI8Pb5DybDuoX";67
"0Hkx0YcHHxDRRbH9WsSW0I";"1bAftSH8umNcGZ0uyV7LMg";"0OWcpVA83HI8Pb5DybDuoX";67
"0VitAFMCI2apQxKzDjg1PU";"2KXYAKQTxHuUHDtVgeGn6w";"6xOC20CkoRKAwGWh32nPHL";65
